op,n,dtype,group,blas,inner,median_s,gflops,min_s,max_s,status
vdot,100000,float64,l1,dotc,500,3.82000000e-05,5.235602,3.80000000e-05,3.84000000e-05,ok
inner,100000,float64,l1,dot,20000,3.83575000e-05,5.214104,3.83500000e-05,3.83650000e-05,ok
norm2,100000,float64,l1,nrm2,499,3.87775551e-05,5.157623,3.86773547e-05,3.90781563e-05,ok
vecdot,100000,float64,l1,dot,20000,3.86200000e-05,5.178664,3.85900000e-05,3.86700000e-05,ok
vector_norm,100000,float64,l1,nrm2,250,6.40000000e-05,3.125000,6.36000000e-05,6.44000000e-05,ok
dot,1000000,float64,l1,dot,62,3.88709677e-04,5.145228,3.87096774e-04,3.88709677e-04,ok
vdot,1000000,float64,l1,dotc,100,3.89000000e-04,5.141388,3.82000000e-04,3.92000000e-04,ok
inner,1000000,float64,l1,dot,125,3.88400000e-04,5.149331,3.88000000e-04,3.89600000e-04,ok
norm2,1000000,float64,l1,nrm2,125,3.76000000e-04,5.319149,3.75200000e-04,3.76800000e-04,ok
vecdot,1000000,float64,l1,dot,99,3.88383838e-04,5.149545,3.87878788e-04,3.89898990e-04,ok
vector_norm,1000000,float64,l1,nrm2,71,6.16197183e-04,3.245714,6.14084507e-04,6.19718310e-04,ok
gemv_n,64,float32,l2,gemv,499,2.40480962e-06,3.406507,2.40480962e-06,2.60521042e-06,ok
gemv_t,64,float32,l2,gemv,20000,2.40250000e-06,3.409781,2.38500000e-06,2.41500000e-06,ok
gemv_n,128,float32,l2,gemv,20000,7.18000000e-06,4.563788,7.17000000e-06,7.19500000e-06,ok
gemv_t,128,float32,l2,gemv,20000,7.98000000e-06,4.106266,7.96000000e-06,7.98500000e-06,ok
gemv_n,256,float32,l2,gemv,20000,2.67700000e-05,4.896227,2.67600000e-05,2.67750000e-05,ok
gemv_t,256,float32,l2,gemv,20000,3.14075000e-05,4.173271,3.13750000e-05,3.14500000e-05,ok
gemv_n,512,float32,l2,gemv,500,1.01400000e-04,5.170493,1.01200000e-04,1.01600000e-04,ok
gemv_t,512,float32,l2,gemv,499,1.26252505e-04,4.152694,1.26052104e-04,1.26452906e-04,ok
gemv_n,1024,float32,l2,gemv,125,3.98400000e-04,5.263936,3.97600000e-04,3.99200000e-04,ok
gemv_t,1024,float32,l2,gemv,23,2.03043478e-03,1.032859,2.01739130e-03,2.06086957e-03,ok
gemv_n,64,float64,l2,gemv,499,2.40480962e-06,3.406507,2.40480962e-06,2.60521042e-06,ok
gemv_t,64,float64,l2,gemv,499,2.40480962e-06,3.406507,2.20440882e-06,2.60521042e-06,ok
gemv_n,128,float64,l2,gemv,20000,7.20000000e-06,4.551111,7.18000000e-06,7.22000000e-06,ok
gemv_t,128,float64,l2,gemv,20000,8.57500000e-06,3.821341,8.57000000e-06,8.58000000e-06,ok
gemv_n,256,float64,l2,gemv,250,2.68000000e-05,4.890746,2.64000000e-05,2.72000000e-05,ok
gemv_t,256,float64,l2,gemv,499,3.16633267e-05,4.139552,3.14629259e-05,3.18637275e-05,ok
gemv_n,512,float64,l2,gemv,499,1.01503006e-04,5.165246,1.01202405e-04,1.02004008e-04,ok
gemv_t,512,float64,l2,gemv,249,2.47188755e-04,2.121003,2.44176707e-04,2.48192771e-04,ok
gemv_n,1024,float64,l2,gemv,71,3.98591549e-04,5.261406,3.97183099e-04,3.98591549e-04,ok
gemv_t,1024,float64,l2,gemv,26,2.03461538e-03,1.030736,2.03076923e-03,2.03846154e-03,ok
gemm,64,float32,l3,gemm,499,1.01202405e-04,5.180588,1.01002004e-04,1.01402806e-04,ok
gemm_f,64,float32,l3,gemm,20000,1.00995000e-04,5.191227,1.00980000e-04,1.01095000e-04,ok
syrk,64,float32,l3,syrk,249,1.01204819e-04,5.180465,1.00803213e-04,1.01606426e-04,ok
batched_matmul,64,float32,l3,gemm,50,1.00200000e-03,5.232415,1.00000000e-03,1.00200000e-03,ok
gemm_dot,64,float32,l3,gemm,249,8.99598394e-05,5.828023,8.95582329e-05,8.99598394e-05,ok
matmul,64,float32,l3,gemm,250,1.01200000e-04,5.180711,1.00400000e-04,1.01200000e-04,ok
tensordot,64,float32,l3,gemm,17,1.00000000e-04,5.242880,9.41176471e-05,1.05882353e-04,ok
multi_dot,64,float32,l3,gemm,249,1.81927711e-04,5.763696,1.81124498e-04,1.82329317e-04,ok
matrix_power,64,float32,l3,gemm,166,2.03012048e-04,5.165092,2.02409639e-04,2.03614458e-04,ok
gemm,128,float32,l3,gemm,45,9.90000000e-04,4.236671,9.86666667e-04,1.00444444e-03,ok
gemm_f,128,float32,l3,gemm,45,9.92222222e-04,4.227182,9.88888889e-04,9.95555556e-04,ok
syrk,128,float32,l3,syrk,55,8.70909091e-04,4.816007,8.65454545e-04,8.78181818e-04,ok
batched_matmul,128,float32,l3,gemm,5,9.88000000e-03,4.245247,9.84000000e-03,9.92000000e-03,ok
gemm_dot,128,float32,l3,gemm,45,1.01111111e-03,4.148213,1.00444444e-03,1.01333333e-03,ok
matmul,128,float32,l3,gemm,49,9.89795918e-04,4.237544,9.87755102e-04,9.91836735e-04,ok
tensordot,128,float32,l3,gemm,45,1.01555556e-03,4.130059,1.01111111e-03,1.01777778e-03,ok
multi_dot,128,float32,l3,gemm,23,2.00434783e-03,4.185206,2.00000000e-03,2.00434783e-03,ok
matrix_power,128,float32,l3,gemm,23,1.93695652e-03,4.330819,1.93043478e-03,1.96521739e-03,ok
gemm,256,float32,l3,gemm,6,7.95000000e-03,4.220683,7.93333333e-03,7.98333333e-03,ok
gemm_f,256,float32,l3,gemm,6,7.89166667e-03,4.251882,7.86666667e-03,7.91666667e-03,ok
syrk,256,float32,l3,syrk,7,6.61428571e-03,5.073024,6.60000000e-03,6.62857143e-03,ok
batched_matmul,256,float32,l3,gemm,1,7.94000000e-02,4.225999,7.92000000e-02,7.96000000e-02,ok
gemm_dot,256,float32,l3,gemm,6,7.88333333e-03,4.256376,7.86666667e-03,7.91666667e-03,ok
matmul,256,float32,l3,gemm,6,7.96666667e-03,4.211853,7.95000000e-03,7.98333333e-03,ok
tensordot,256,float32,l3,gemm,6,7.88333333e-03,4.256376,7.86666667e-03,7.90000000e-03,ok
multi_dot,256,float32,l3,gemm,3,1.57333333e-02,4.265394,1.57000000e-02,1.58000000e-02,ok
matrix_power,256,float32,l3,gemm,3,1.57333333e-02,4.265394,1.56666667e-02,1.57666667e-02,ok
gemm,512,float32,l3,gemm,1,6.77000000e-02,3.965073,6.75000000e-02,6.77000000e-02,ok
gemm_f,512,float32,l3,gemm,1,6.51000000e-02,4.123433,6.50000000e-02,6.52000000e-02,ok
syrk,512,float32,l3,syrk,1,5.14000000e-02,5.222480,5.13000000e-02,5.15000000e-02,ok
batched_matmul,512,float32,l3,gemm,1,6.82200000e-01,3.934850,6.82000000e-01,6.82600000e-01,ok
gemm_dot,512,float32,l3,gemm,1,6.42000000e-02,4.181238,6.40000000e-02,6.44000000e-02,ok
matmul,512,float32,l3,gemm,1,6.76000000e-02,3.970939,6.76000000e-02,6.77000000e-02,ok
tensordot,512,float32,l3,gemm,1,6.42000000e-02,4.181238,6.41000000e-02,6.42000000e-02,ok
multi_dot,512,float32,l3,gemm,1,1.28500000e-01,4.177984,1.28300000e-01,1.28700000e-01,ok
matrix_power,512,float32,l3,gemm,1,1.36900000e-01,3.921628,1.36800000e-01,1.37000000e-01,ok
gemm,1024,float32,l3,gemm,1,2.08360000e+00,1.030660,2.08230000e+00,2.08510000e+00,ok
gemm_f,1024,float32,l3,gemm,1,2.09430000e+00,1.025394,2.09300000e+00,2.49040000e+00,ok
syrk,1024,float32,l3,syrk,1,4.25900000e-01,5.042225,4.25100000e-01,4.26800000e-01,ok
batched_matmul,1024,float32,l3,gemm,1,2.09917500e+01,1.023013,2.09896000e+01,2.09932000e+01,ok
gemm_dot,1024,float32,l3,gemm,1,2.06540000e+00,1.039742,2.06500000e+00,2.06600000e+00,ok
matmul,1024,float32,l3,gemm,1,2.08220000e+00,1.031353,2.08110000e+00,2.08280000e+00,ok
tensordot,1024,float32,l3,gemm,1,2.06465000e+00,1.040120,2.06370000e+00,2.06570000e+00,ok
multi_dot,1024,float32,l3,gemm,1,4.12070000e+00,1.042291,4.11850000e+00,4.12400000e+00,ok
matrix_power,1024,float32,l3,gemm,1,4.14660000e+00,1.035780,4.14570000e+00,4.15330000e+00,ok
gemm,64,float64,l3,gemm,500,1.08800000e-04,4.818824,1.08600000e-04,1.09200000e-04,ok
gemm_f,64,float64,l3,gemm,500,1.09000000e-04,4.809982,1.08800000e-04,1.09200000e-04,ok
syrk,64,float64,l3,syrk,500,1.09000000e-04,4.809982,1.09000000e-04,1.09200000e-04,ok
batched_matmul,64,float64,l3,gemm,45,1.08666667e-03,4.824736,1.08444444e-03,1.08888889e-03,ok
gemm_dot,64,float64,l3,gemm,250,1.07400000e-04,4.881639,1.06800000e-04,1.07600000e-04,ok
matmul,64,float64,l3,gemm,20000,1.07042500e-04,4.897942,1.06425000e-04,1.07920000e-04,ok
tensordot,64,float64,l3,gemm,249,1.10441767e-04,4.747190,1.10040161e-04,1.11244980e-04,ok
multi_dot,64,float64,l3,gemm,166,2.15361446e-04,4.868912,2.14457831e-04,2.16867470e-04,ok
matrix_power,64,float64,l3,gemm,166,2.13253012e-04,4.917051,2.12650602e-04,2.13855422e-04,ok
gemm,128,float64,l3,gemm,41,1.06829268e-03,3.926175,1.06585366e-03,1.06829268e-03,ok
gemm_f,128,float64,l3,gemm,50,1.06600000e-03,3.934619,1.06400000e-03,1.06800000e-03,ok
syrk,128,float64,l3,syrk,50,8.99000000e-04,4.665522,8.94000000e-04,9.02000000e-04,ok
batched_matmul,128,float64,l3,gemm,4,1.07250000e-02,3.910773,1.06750000e-02,1.07750000e-02,ok
gemm_dot,128,float64,l3,gemm,45,1.08888889e-03,3.851912,1.08666667e-03,1.09333333e-03,ok
matmul,128,float64,l3,gemm,41,1.06585366e-03,3.935159,1.06585366e-03,1.07073171e-03,ok
tensordot,128,float64,l3,gemm,41,1.09024390e-03,3.847124,1.08536585e-03,1.09512195e-03,ok
multi_dot,128,float64,l3,gemm,22,2.18636364e-03,3.836785,2.17727273e-03,2.20000000e-03,ok
matrix_power,128,float64,l3,gemm,24,2.14583333e-03,3.909254,2.14166667e-03,2.15000000e-03,ok
gemm,256,float64,l3,gemm,5,8.73000000e-03,3.843578,8.70000000e-03,8.78000000e-03,ok
gemm_f,256,float64,l3,gemm,5,8.44000000e-03,3.975644,8.40000000e-03,8.46000000e-03,ok
syrk,256,float64,l3,syrk,7,6.81428571e-03,4.924130,6.78571429e-03,6.82857143e-03,ok
batched_matmul,256,float64,l3,gemm,1,8.73000000e-02,3.843578,8.71000000e-02,8.77000000e-02,ok
gemm_dot,256,float64,l3,gemm,5,8.34000000e-03,4.023313,8.32000000e-03,8.36000000e-03,ok
matmul,256,float64,l3,gemm,5,8.70000000e-03,3.856831,8.68000000e-03,8.72000000e-03,ok
tensordot,256,float64,l3,gemm,6,8.26666667e-03,4.059004,8.21666667e-03,8.31666667e-03,ok
multi_dot,256,float64,l3,gemm,2,1.67000000e-02,4.018495,1.66500000e-02,1.68000000e-02,ok
matrix_power,256,float64,l3,gemm,2,1.73500000e-02,3.867946,1.73000000e-02,1.74500000e-02,ok
gemm,512,float64,l3,gemm,1,1.20900000e-01,2.220310,1.19900000e-01,1.21100000e-01,ok
gemm_f,512,float64,l3,gemm,1,1.09200000e-01,2.458200,1.09100000e-01,1.10400000e-01,ok
syrk,512,float64,l3,syrk,1,5.33000000e-02,5.036312,5.31000000e-02,5.34000000e-02,ok
batched_matmul,512,float64,l3,gemm,1,1.26790000e+00,2.117166,1.26480000e+00,1.27430000e+00,ok
gemm_dot,512,float64,l3,gemm,1,1.16900000e-01,2.296283,1.15800000e-01,1.17800000e-01,ok
matmul,512,float64,l3,gemm,1,1.20550000e-01,2.226756,1.20000000e-01,1.21300000e-01,ok
tensordot,512,float64,l3,gemm,1,1.17600000e-01,2.282614,1.17200000e-01,1.17900000e-01,ok
multi_dot,512,float64,l3,gemm,1,2.25700000e-01,2.378693,2.25500000e-01,2.25900000e-01,ok
matrix_power,512,float64,l3,gemm,1,2.50600000e-01,2.142342,2.50100000e-01,2.51000000e-01,ok
gemm,1024,float64,l3,gemm,1,1.92780000e+00,1.113956,1.92670000e+00,1.93260000e+00,ok
gemm_f,1024,float64,l3,gemm,1,1.99760000e+00,1.075032,1.96690000e+00,2.19470000e+00,ok
syrk,1024,float64,l3,syrk,1,4.31500000e-01,4.976787,4.30500000e-01,4.32000000e-01,ok
batched_matmul,1024,float64,l3,gemm,1,2.08933000e+01,1.027834,2.08894000e+01,2.08979000e+01,ok
gemm_dot,1024,float64,l3,gemm,1,1.90995000e+00,1.124366,1.90850000e+00,1.91200000e+00,ok
matmul,1024,float64,l3,gemm,1,1.92855000e+00,1.113522,1.92720000e+00,1.93020000e+00,ok
tensordot,1024,float64,l3,gemm,1,1.90930000e+00,1.124749,1.90750000e+00,1.92100000e+00,ok
multi_dot,1024,float64,l3,gemm,1,4.14460000e+00,1.036280,4.14410000e+00,4.14660000e+00,ok
matrix_power,1024,float64,l3,gemm,1,4.18140000e+00,1.027160,4.17900000e+00,4.19050000e+00,ok
solve,64,float32,lapack,gesv,62,5.40322581e-05,,5.32258064e-05,5.48387097e-05,ok
inv,64,float32,lapack,getrf,166,1.37650602e-04,,1.37349398e-04,1.37951807e-04,ok
cholesky,64,float32,lapack,potrf,250,3.40000000e-05,,3.36000000e-05,3.48000000e-05,ok
eigh,64,float32,lapack,syevd,16,5.15625000e-04,,5.06250000e-04,5.18750000e-04,ok
eigvalsh,64,float32,lapack,syevd,125,1.10400000e-04,,1.10400000e-04,1.12000000e-04,ok
eig,64,float32,lapack,geev,14,1.40000000e-03,,1.39285714e-03,1.41428571e-03,ok
eigvals,64,float32,lapack,geev,50,8.46000000e-04,,8.44000000e-04,8.52000000e-04,ok
svd,64,float32,lapack,gesdd,33,2.46969697e-04,,2.45454545e-04,2.51515152e-04,ok
svd_full,64,float32,lapack,gesdd,35,9.25714286e-04,,9.20000000e-04,9.28571429e-04,ok
qr,64,float32,lapack,geqrf,62,1.88709677e-04,,1.87096774e-04,1.90322581e-04,ok
lstsq,64,float32,lapack,gelsd,29,8.72413793e-04,,8.68965517e-04,8.79310345e-04,ok
det,64,float32,lapack,getrf,500,4.92000000e-05,,4.90000000e-05,4.94000000e-05,ok
slogdet,64,float32,lapack,getrf,500,5.06000000e-05,,5.04000000e-05,5.08000000e-05,ok
pinv,64,float32,lapack,gesdd,33,1.05151515e-03,,1.04545455e-03,1.05151515e-03,ok
cond,64,float32,lapack,gesdd,99,2.52525253e-04,,2.48484848e-04,2.54545455e-04,ok
matrix_rank,64,float32,lapack,gesdd,124,2.59274194e-04,,2.58064516e-04,2.61290323e-04,ok
svdvals,64,float32,lapack,gesdd,166,2.50602410e-04,,2.48795181e-04,2.51807229e-04,ok
matrix_norm,64,float32,lapack,gesdd,125,2.50000000e-04,,2.48800000e-04,2.52000000e-04,ok
tensorsolve,64,float32,lapack,gesv,100,3.46500000e-04,,3.45000000e-04,3.48000000e-04,ok
tensorinv,64,float32,lapack,getrf,45,1.04000000e-03,,1.03555556e-03,1.04444444e-03,ok
solve,128,float32,lapack,gesv,125,3.56800000e-04,,3.56000000e-04,3.58400000e-04,ok
inv,128,float32,lapack,getrf,49,1.05714286e-03,,1.05510204e-03,1.05918367e-03,ok
cholesky,128,float32,lapack,potrf,100,2.12000000e-04,,2.10000000e-04,2.14000000e-04,ok
eigh,128,float32,lapack,syevd,16,2.98125000e-03,,2.96875000e-03,2.98750000e-03,ok
eigvalsh,128,float32,lapack,syevd,62,6.86290323e-04,,6.82258065e-04,6.88709677e-04,ok
eig,128,float32,lapack,geev,3,1.01166667e-02,,1.00333333e-02,1.02000000e-02,ok
eigvals,128,float32,lapack,geev,8,5.65000000e-03,,5.63750000e-03,5.67500000e-03,ok
svd,128,float32,lapack,gesdd,29,1.69655172e-03,,1.69310345e-03,1.70344828e-03,ok
svd_full,128,float32,lapack,gesdd,8,5.75000000e-03,,5.73750000e-03,5.76250000e-03,ok
qr,128,float32,lapack,geqrf,29,1.43793103e-03,,1.43103448e-03,1.44827586e-03,ok
lstsq,128,float32,lapack,gelsd,10,4.48000000e-03,,4.46000000e-03,4.51000000e-03,ok
det,128,float32,lapack,getrf,99,3.44444444e-04,,3.42424242e-04,3.45454545e-04,ok
slogdet,128,float32,lapack,getrf,124,3.44758065e-04,,3.43548387e-04,3.45161290e-04,ok
pinv,128,float32,lapack,gesdd,7,6.81428571e-03,,6.77142857e-03,6.84285714e-03,ok
cond,128,float32,lapack,gesdd,27,1.70370370e-03,,1.70000000e-03,1.71481481e-03,ok
matrix_rank,128,float32,lapack,gesdd,29,1.71034483e-03,,1.70689655e-03,1.71379310e-03,ok
svdvals,128,float32,lapack,gesdd,29,1.69655172e-03,,1.68620690e-03,1.70689655e-03,ok
matrix_norm,128,float32,lapack,gesdd,27,1.70555556e-03,,1.70000000e-03,1.71111111e-03,ok
tensorsolve,128,float32,lapack,gesv,18,2.66944444e-03,,2.66111111e-03,2.68333333e-03,ok
tensorinv,128,float32,lapack,getrf,6,7.77500000e-03,,7.75000000e-03,7.81666667e-03,ok
solve,256,float32,lapack,gesv,17,2.81176471e-03,,2.80000000e-03,2.82352941e-03,ok
inv,256,float32,lapack,getrf,6,8.10000000e-03,,8.06666667e-03,8.13333333e-03,ok
cholesky,256,float32,lapack,potrf,33,1.46969697e-03,,1.46363636e-03,1.47272727e-03,ok
eigh,256,float32,lapack,syevd,2,1.87500000e-02,,1.86500000e-02,1.88000000e-02,ok
eigvalsh,256,float32,lapack,syevd,11,4.33636364e-03,,4.32727273e-03,4.35454545e-03,ok
eig,256,float32,lapack,geev,1,9.02000000e-02,,8.98000000e-02,9.05000000e-02,ok
eigvals,256,float32,lapack,geev,1,4.53500000e-02,,4.52000000e-02,4.55000000e-02,ok
svd,256,float32,lapack,gesdd,3,1.32666667e-02,,1.32000000e-02,1.33000000e-02,ok
svd_full,256,float32,lapack,gesdd,1,3.92000000e-02,,3.91000000e-02,3.93000000e-02,ok
qr,256,float32,lapack,geqrf,4,1.11500000e-02,,1.11000000e-02,1.12000000e-02,ok
lstsq,256,float32,lapack,gelsd,1,2.95000000e-02,,2.93000000e-02,2.96000000e-02,ok
det,256,float32,lapack,getrf,17,2.77058824e-03,,2.75294118e-03,2.78235294e-03,ok
slogdet,256,float32,lapack,getrf,17,2.77058824e-03,,2.75294118e-03,2.78235294e-03,ok
pinv,256,float32,lapack,gesdd,1,4.74000000e-02,,4.72000000e-02,4.83000000e-02,ok
cond,256,float32,lapack,gesdd,3,1.32000000e-02,,1.31333333e-02,1.33000000e-02,ok
matrix_rank,256,float32,lapack,gesdd,3,1.31833333e-02,,1.31333333e-02,1.32666667e-02,ok
svdvals,256,float32,lapack,gesdd,3,1.31333333e-02,,1.31000000e-02,1.32000000e-02,ok
matrix_norm,256,float32,lapack,gesdd,3,1.31833333e-02,,1.31333333e-02,1.32333333e-02,ok
tensorsolve,256,float32,lapack,gesv,2,1.98250000e-02,,1.97000000e-02,1.98500000e-02,ok
tensorinv,256,float32,lapack,getrf,1,5.93500000e-02,,5.91000000e-02,5.96000000e-02,ok
solve,512,float32,lapack,gesv,2,2.05000000e-02,,2.04000000e-02,2.06500000e-02,ok
inv,512,float32,lapack,getrf,1,6.06500000e-02,,6.03000000e-02,6.10000000e-02,ok
cholesky,512,float32,lapack,potrf,4,1.08125000e-02,,1.07750000e-02,1.08750000e-02,ok
eigh,512,float32,lapack,syevd,1,1.27150000e-01,,1.27000000e-01,1.27500000e-01,ok
eigvalsh,512,float32,lapack,syevd,1,2.95000000e-02,,2.94000000e-02,2.97000000e-02,ok
eig,512,float32,lapack,geev,1,5.47250000e-01,,5.45900000e-01,5.48400000e-01,ok
eigvals,512,float32,lapack,geev,1,2.85300000e-01,,2.84900000e-01,2.85800000e-01,ok
svd,512,float32,lapack,gesdd,1,9.05000000e-02,,9.05000000e-02,9.07000000e-02,ok
svd_full,512,float32,lapack,gesdd,1,2.74800000e-01,,2.74400000e-01,2.75300000e-01,ok
qr,512,float32,lapack,geqrf,1,7.97500000e-02,,7.95000000e-02,8.01000000e-02,ok
lstsq,512,float32,lapack,gelsd,1,1.97650000e-01,,1.97000000e-01,1.98000000e-01,ok
det,512,float32,lapack,getrf,2,2.02000000e-02,,2.01000000e-02,2.03500000e-02,ok
slogdet,512,float32,lapack,getrf,2,2.02000000e-02,,2.01000000e-02,2.03000000e-02,ok
pinv,512,float32,lapack,gesdd,1,3.40700000e-01,,3.40400000e-01,3.41000000e-01,ok
cond,512,float32,lapack,gesdd,1,9.00000000e-02,,8.99000000e-02,9.02000000e-02,ok
matrix_rank,512,float32,lapack,gesdd,1,9.01500000e-02,,8.98000000e-02,9.04000000e-02,ok
svdvals,512,float32,lapack,gesdd,1,9.00500000e-02,,8.98000000e-02,9.01000000e-02,ok
matrix_norm,512,float32,lapack,gesdd,1,9.00000000e-02,,9.00000000e-02,9.01000000e-02,ok
tensorsolve,512,float32,lapack,gesv,1,1.48550000e-01,,1.47800000e-01,1.48900000e-01,ok
tensorinv,512,float32,lapack,getrf,1,4.55100000e-01,,4.53800000e-01,4.56300000e-01,ok
solve,1024,float32,lapack,gesv,1,1.51800000e-01,,1.51500000e-01,1.52100000e-01,ok
inv,1024,float32,lapack,getrf,1,4.61050000e-01,,4.60000000e-01,4.61600000e-01,ok
cholesky,1024,float32,lapack,potrf,1,8.09000000e-02,,8.05000000e-02,8.12000000e-02,ok
eigh,1024,float32,lapack,syevd,1,9.02200000e-01,,9.01200000e-01,9.03800000e-01,ok
eigvalsh,1024,float32,lapack,syevd,1,2.14950000e-01,,2.14400000e-01,2.15400000e-01,ok
eig,1024,float32,lapack,geev,1,3.33915000e+00,,3.33450000e+00,3.34880000e+00,ok
eigvals,1024,float32,lapack,geev,1,1.57070000e+00,,1.56870000e+00,1.57430000e+00,ok
svd,1024,float32,lapack,gesdd,1,6.46000000e-01,,6.45600000e-01,6.46200000e-01,ok
svd_full,1024,float32,lapack,gesdd,1,1.98970000e+00,,1.98790000e+00,1.99150000e+00,ok
qr,1024,float32,lapack,geqrf,1,5.93200000e-01,,5.92900000e-01,5.93400000e-01,ok
lstsq,1024,float32,lapack,gelsd,1,1.40260000e+00,,1.40210000e+00,1.40330000e+00,ok
det,1024,float32,lapack,getrf,1,1.48350000e-01,,1.48100000e-01,1.50000000e-01,ok
slogdet,1024,float32,lapack,getrf,1,1.48450000e-01,,1.48000000e-01,1.48500000e-01,ok
pinv,1024,float32,lapack,gesdd,1,4.10245000e+00,,4.09060000e+00,4.11470000e+00,ok
cond,1024,float32,lapack,gesdd,1,6.51900000e-01,,6.50800000e-01,6.52400000e-01,ok
matrix_rank,1024,float32,lapack,gesdd,1,6.49300000e-01,,6.48100000e-01,6.51000000e-01,ok
svdvals,1024,float32,lapack,gesdd,1,6.47450000e-01,,6.46400000e-01,6.48600000e-01,ok
matrix_norm,1024,float32,lapack,gesdd,1,6.46550000e-01,,6.46100000e-01,6.47000000e-01,ok
tensorsolve,1024,float32,lapack,gesv,1,1.14240000e+00,,1.13950000e+00,1.14450000e+00,ok
tensorinv,1024,float32,lapack,getrf,1,3.77475000e+00,,3.77220000e+00,3.77740000e+00,ok
solve,64,float64,lapack,gesv,500,4.70000000e-05,,4.68000000e-05,4.72000000e-05,ok
inv,64,float64,lapack,getrf,250,1.25200000e-04,,1.24800000e-04,1.26000000e-04,ok
cholesky,64,float64,lapack,potrf,20000,2.80525000e-05,,2.80100000e-05,2.80900000e-05,ok
eigh,64,float64,lapack,syevd,100,4.72000000e-04,,4.71000000e-04,4.75000000e-04,ok
eigvalsh,64,float64,lapack,syevd,250,1.07400000e-04,,1.07200000e-04,1.08000000e-04,ok
eig,64,float64,lapack,geev,31,1.37419355e-03,,1.36774194e-03,1.37741935e-03,ok
eigvals,64,float64,lapack,geev,62,8.04838710e-04,,8.03225806e-04,8.06451613e-04,ok
svd,64,float64,lapack,gesdd,250,2.28600000e-04,,2.27600000e-04,2.30000000e-04,ok
svd_full,64,float64,lapack,gesdd,62,8.46774194e-04,,8.45161290e-04,8.48387097e-04,ok
qr,64,float64,lapack,geqrf,250,1.72000000e-04,,1.71600000e-04,1.73200000e-04,ok
lstsq,64,float64,lapack,gelsd,55,8.10909091e-04,,8.09090909e-04,8.14545455e-04,ok
det,64,float64,lapack,getrf,250,4.40000000e-05,,4.40000000e-05,4.44000000e-05,ok
slogdet,64,float64,lapack,getrf,500,4.50000000e-05,,4.46000000e-05,4.52000000e-05,ok
pinv,64,float64,lapack,gesdd,41,9.78048780e-04,,9.78048780e-04,9.82926829e-04,ok
cond,64,float64,lapack,gesdd,249,2.40160643e-04,,2.37751004e-04,2.40963855e-04,ok
matrix_rank,64,float64,lapack,gesdd,166,2.40963855e-04,,2.40361446e-04,2.42168675e-04,ok
